Word,Most Repeated Number,Count
Fuji,2,1
Heavy,2,1
Industries,2,1
broken,2,1
keiretsu,2,1
legislation.,2,1
contributor,2,1
change.[46],2,1
(ICE).,2,1
Organization,2,1
Vehicle,2,1
Manufacturers,2,1
mandate,2,1
low,2,1
sulphur,2,1
spirit,2,1
2010s,2,1
standards,2,1
Euro-6),2,1
emit,2,1
pollution.[47][48],2,1
future.,2,1
say,2,1
phase-out,2,1
brought,2,1
forwards,2,1
change.,2,1
Production,2,1
peaked,2,1
2017.[49][50],2,1
hydrocarbon,2,1
fuels,2,1
deflagration,2,1
(rather,2,1
detonation),2,1
ICE,2,1
autogas,2,1
CNG.,2,1
Removal,2,1
subsidies,2,1
[51][52],2,1
concerns,2,1
dependence,2,1
tightening,2,1
restrictions,2,1
gas,2,1
propelling,2,1
vehicles.,2,1
Out,2,1
nine,2,1
roads.[53],2,1
Despite,2,1
fully,2,1
2021.[53],2,1
racing,2,1
records,2,1
sometimes,2,1
employed,2,1
jet,2,1
rocket,2,1
impractical,2,1
Oil,2,1
centuries,2,1
cars;,2,1
1980s,2,1
glut,2,1
low-economy,2,1
OECD,2,1
countries.,2,1
BRIC,2,1
adding,2,1
consumption.,2,1
2023[update],2,1
hub,2,1
motors.[54][55],2,1
(even,2,1
mild,2,1
hybrid),2,1
pure,2,1
recovers,2,1
returns,2,1
wasted,2,1
getting,2,1
hot.[56],2,1
(front,2,1
drum,2,1
rear,2,1
brakes[57]),2,1
stops,2,1
improves,2,1
particularly,2,1
driving.[58],2,1
normally,2,1
operated,2,1
feet,2,1
hands,2,1
occasionally,2,1
voice,2,1
21st-century,2,1
steering,2,1
controlling,2,1
car's,2,1
manual,2,1
pedal),2,1
shift,2,1
lever,2,1
stick,2,1
changing,2,1
gears,2,1
buttons,2,1
dials,2,1
turning,2,1
ventilation,2,1
functions.,2,1
Modern,2,1
standardised,2,1
accelerator,2,1
case.,2,1
Controls,2,1
communications.,2,1
required.,2,1
once,2,1
choke,2,1
valve,2,1
timing,2,1
crank,2,1
starter.,2,1
trend,2,1
replacement,2,1
knobs,2,1
switches,2,1
secondary,2,1
touchscreen,2,1
BMW's,2,1
iDrive,2,1
MyFord,2,1
Touch.,2,1
physically,2,1
linked,2,1
mechanism,2,1
throttle,2,1
linkages,2,1
electronic,2,1
controls.,2,1
interior,2,1
lighting,2,1
toggled,2,1
manually,2,1
entertainment,2,1
originated,2,1
radios,2,1
sideways,2,1
lowered,2,1
raised,2,1
electrically,2,1
(manually,2,1
cars),2,1
auxiliary,2,1
outlets,2,1
supplying,2,1
appliances,2,1
phones,2,1
fridges,2,1
inverters,2,1
pumps,2,1
system.[59][60][a],2,1
costly,2,1
upper-class,2,1
luxury,2,1
massage,2,1
collision,2,1
avoidance,2,1
systems.[61][62],2,1
Dedicated,2,1
fuses,2,1
circuit,2,1
breakers,2,1
overload.,2,1
lights.,2,1
headlights,2,1
ahead,2,1
night;,2,1
jurisdictions,2,1
daytime,2,1
lights;,2,1
red,2,1
applied;,2,1
amber,2,1
signal,2,1
intentions,2,1
driver;,2,1
white-coloured,2,1
reverse,2,1
behind,2,1
reversing);,2,1
side,2,1
marker,2,1
lights),2,1
visibility,2,1
car.,2,1
Interior,2,1
ceiling,2,1
passengers.,2,1
boot,2,1
rarely,2,1
compartment,2,1
light.,2,1
batteries,2,1
[64],2,1
cages,2,1
anti-lock,2,1
airbags,2,1
more-powerful—if,2,1
efficient—engines[65],2,1
2019[update],2,1
weigh,2,1
tonnes,2,1
(1.1,2,1
3.3,2,1
short,2,1
tons;,2,1
0.98,2,1
2.95,2,1
tons).[66],2,1
crash,2,1
perspective,2,1
dangerous,2,1
users.[65],2,1
influences,2,1
decreased,2,1
performance.,2,1
Wuling,2,1
Hongguang,2,1
Mini,2,1
EV,2,1
typical,2,1
weighs,2,1
700,2,1
kilograms,2,1
500,2,1
lb).,2,1
extended-length,2,1
Suburban.,2,1
wider.[67],2,1
places,2,1
heavier,2,1
more:[68],2,1
improving,2,1
encourage,2,1
recycled,2,1
steel.[69],2,1
suggested,2,1
benefit,2,1
subsidising,2,1
infrastructure,2,1
batteries.[70],2,1
passengers,2,1
front,2,1
three,2,1
rear.,2,1
Full-size,2,1
sport,2,1
seven,2,1
arrangement,2,1
On,2,1
hand,2,1
sports,2,1
Utility,2,1
pickup,2,1
trucks,2,1
combine,2,1
seating,2,1
extra,2,1
functionality.,2,1
differing,2,1
capacity,2,1
luggage,2,1
availability,2,1
body,2,1
styles,2,1
consumer,2,1
among,2,1
sedan/saloon,2,1
hatchback,2,1
station,2,1
wagon/estate,2,1
coupe,2,1
minivan.,2,1
Mary,2,1
Ward,2,1
documented,2,1
fatalities,2,1
1869,2,1
Parsonstown,2,1
Ireland,2,1
[71],2,1
Bliss,2,1
US's,2,1
casualties,2,1
York,2,1
City.[72],2,1
Euro,2,1
NCAP,2,1
[73],2,1
insurance-industry-backed,2,1
Insurance,2,1
Institute,2,1
Highway,2,1
Safety,2,1
(IIHS).[74],2,1
of:,2,1
insurance,2,1
[9],2,1
weighed,2,1
benefits—perceived,2,1
real—of,2,1
convenience,2,1
[11],2,1
power.[76],2,1
benefit:,2,1
[c]ouples,2,1
finally,2,1
head,2,1
unchaperoned,2,1
plus,2,1
snuggle,2,1
close,2,1
night.[77],2,1
include;,2,1
land,2,1
care,2,1
life;,2,1
balanced,2,1
generates.,2,1
include:,2,1
economy,2,1
wellbeing,2,1
opportunities.,2,1
humans,2,1
[80],2,1
tyres,2,1
wear,2,1
[81],2,1
emission,2,1
standards.[82],2,1
rely,2,1
consume,2,1
quarter,2,1
2019[update].[49],2,1
Both,2,1
pollute,2,1
cars.[83],2,1
vans,2,1
caused,2,1
8%,2,1
direct,2,1
dioxide,2,1
2021.[84],2,1
2021[update],2,1
gases,2,1
emitted,2,1
tens,2,1
thousands,2,1
lifecycle,2,1
cars;[85][86],2,1
varies,2,1
considerably[87],2,1
future,2,1
lasting,2,1
batteries[88],2,1
factories.[89],2,1
governments,2,1
fiscal,2,1
discourage,2,1
cars;[90],2,1
doing,2,1
low-emission,2,1
zones.[91],2,1
Fuel,2,1
act,2,1
efficient,2,1
hence,2,1
vehicles),2,1
fuels.[citation,2,1
High,2,1
strong,2,1
consumers,2,1
fuel-efficient,2,1
[citation,2,1
drive.[91],2,1
millionkm,2,1
(1.2,2,1
millionmiles),2,1
lot.[92],2,1
According,2,1
Energy,2,1
Agency,2,1
rated,2,1
light-duty,2,1
0.9%,2,1
2017,2,1
1.8%,2,1
annual,2,1
reduction,2,1
2010,2,1
2015.,2,1
Given,2,1
slow,2,1
progress,2,1
IEA,2,1
estimates,2,1
decrease,2,1
4.3%,2,1
2030.[93],2,1
economy.[49],2,1
Amsterdam,2,1
2030.[94],2,1
Chinese,2,1
licensing,2,1
[95],2,1
stop,2,1
selling,2,1
2025,2,1
2050.[96],2,1
manufacture,2,1
resource,2,1
factories,2,1
waste,2,1
consumption.[97],2,1
Manufacturing,2,1
kWh,2,1
emits,2,1
amount,2,1
burning,2,1
full,2,1
tank,2,1
petrol.[98],2,1
allowed,2,1
sprawl,2,1
therefore,2,1
encouraging,2,1
inactivity,2,1
obesity,2,1
lead,2,1
diseases.[99],2,1
plants,2,1
negatively,2,1
destruction,2,1
pollution.,2,1
loss,2,1
square,2,1
metres,2,1
(540,2,1
sq,2,1
ft),2,1
primary,2,1
correlations.[100][clarification,2,1
killed,2,1
roadkill.,2,1
significant,2,1
green,2,1
bridges,2,1
(designed,2,1
allow,2,1
crossings),2,1
corridors.,2,1
Growth,2,1
commuting,2,1
traffic,2,1
congestion.[101],2,1
Moscow,2,1
Istanbul,2,1
Bogotá,2,1
Mexico,2,1
City,2,1
São,2,1
Paulo,2,1
2018,2,1
according,2,1
INRIX,2,1
analytics,2,1
company.[102],2,1
Mass,2,1
extensive,2,1
territories,2,1
Australia,2,1
Argentina,2,1
vastly,2,1
group,2,1
suburban,2,1
exurban,2,1
rural,2,1
areas.[citation,2,1
divide,2,1
dependency,2,1
domination,2,1
car-based,2,1
presents,2,1
barriers,2,1
employment,2,1
neighbourhoods,2,1
[103],2,1
individuals,2,1
families,2,1
income.[104],2,1
Dependency,2,1
African,2,1
Americans,2,1
exposure,2,1
hazards,2,1
racial,2,1
discrimination,2,1
financing,2,1
insuring,2,1
them.[105],2,1
continuing,2,1
[106],2,1
propulsion,2,1
wireless,2,1
[107],2,1
[108],2,1
hydrogen/electric,2,1
hybrids.[109],2,1
Research,2,1
forms,2,1
ammonia,2,1
cells.[110],2,1
replace,2,1
bodies,2,1
[111],2,1
fiberglass,2,1
fiber,2,1
biocomposites,2,1
nanotubes.[112],2,1
Telematics,2,1
pay-as-you-go,2,1
basis,2,1
carpool,2,1
schemes.,2,1
Communication,2,1
connected,2,1
systems.[113],2,1
Fully,2,1
autonomous,2,1
driverless,2,1
robotaxis[114][115],2,1
general,2,1
use.[116],2,1
aiming,2,1
approach,2,1
designing,2,1
machinery,2,1
compensation.,2,1
None,2,1
succeeded,2,1
whole,2,1
hardware,2,1
ready,2,1
introduced.,2,1
hacking,2,1
diagnostics,2,1
(OBD),2,1
done,2,1
far.[117],2,1
Car-share,2,1
arrangements,2,1
carpooling,2,1
popular,2,1
Europe.[118],2,1
car-sharing,2,1
double-digit,2,1
membership,2,1
2006,2,1
2007.,2,1
residents,2,1
rather,2,1
neighbourhoods.[119],2,1
develops,2,1
manufactures,2,1
markets,2,1
sells,2,1
three-quarters,2,1
2020,2,1
56,2,1
[120],2,1
down,2,1
67,2,1
year.[121],2,1
produces,2,1
(20,2,1
2020),2,1
(seven,2,1
million),2,1
South,2,1
Korea,2,1
India.[122],2,1
Around,2,1
road;[123],2,1
burn,2,1
trillion,2,1
litres,2,1
(0.26×10^12,2,1
gal;,2,1
0.22×10^12,2,1
imp,2,1
gal),2,1
yearly,2,1
exajoules,2,1
(14,2,1
TWh),2,1
energy.[124],2,1
India.[13],2,1
opinion,2,1
proved,2,1
unsustainable,2,1
excessive,2,1
affecting,2,1
populations,2,1
delivering,2,1
declining,2,1
investment.,2,1
negative,2,1
effects,2,1
fall,2,1
disproportionately,2,1
drive,2,1
cars.[125][126],2,1
sustainable,2,1
focuses,2,1
problems.,2,1
facing,2,1
competition,2,1
re-evaluate,2,1
Established,2,1
aspects,2,1
busses,2,1
trolleybusses,2,1
trains,2,1
subways,2,1
tramways,2,1
rail,2,1
cycling,2,1
walking.,2,1
Bicycle,2,1
Copenhagen,2,1
Amsterdam.,2,1
Similar,2,1
programmes,2,1
cities.[127][128],2,1
Additional,2,1
modes,2,1
transit,2,1
serve,2,1
socially,2,1
accepted.[129],2,1
checked,2,1
Low,2,1
Neighbourhood,2,1
London,2,1
overpass,2,1
approximately,2,1
times,2,1
20,2,1
difference,2,1
growing,2,1
time.[130],2,1
General:,2,1
Effects:,2,1
Mitigation:,2,1
fundraising,9,1
option,9,1
donating,9,1
Wikipedia.,9,1
wiki,9,1
pages.,9,1
apply,9,1
special,9,1
At,9,1
label.,9,1
Try,9,1
sandbox.,9,1
gives,9,1
editorial,9,1
board;,9,1
edits,9,1
community.,9,1
introduction.,9,1
editing,9,1
infowikimedia.org.,9,1
answered,9,1
longtime,9,1
vast,9,1
Wikipedia-related,9,1
issues.,9,1
Thanks,9,1
again,9,1
us!,9,1
Car/wiki/Car.,29,1
Or,29,1
Google,29,1
DuckDuckGo,29,1
preferred,29,1
engine.You,29,1
blank,29,1
Entry,29,1
Creator!,29,1
leave,29,1
note.,29,1
Wikibooks,30,1
generative,30,1
AI.,30,1
Wikiversity,30,1
browse,30,1
books.,30,1
recommends,32,1
amend,32,1
preferences.,32,1
allows,32,1
redirects,32,1
term.,32,1
reproduces,32,1
fiction,32,1
non-fiction,32,1
poetry,32,1
essays,32,1
biographical,32,1
scientific,32,1
etc.,32,1
display,32,1
prioritised,32,1
setting.,32,1
Will,34,1
choose.,34,1
Wikidata,37,1
given,37,1
Special:ItemByTitle.,37,1
Below,47,1
deletions,47,1
restorations.,47,1
file,47,1
uploaded,47,1
Wikipedia:Why,47,1
I,47,1
deleted?,47,1
Administrators,47,1
partial,47,1
titles,47,1
Special:Undelete.,47,1
Others,47,1
{{Admin,47,1
help}}.,47,1
matching,47,1
log.,47,1
project.,50,1
may:,50,1
you:,50,1
Be,50,1
aware:,50,1
nonprofit,50,1
operates,50,1
Wiktionary.,50,1
powerful,50,1
principle:,50,1
alone.,50,1
collectively,50,1
gathering,50,1
analyzing,50,1
seek,50,1
usable,50,1
beneficial.,50,1
information-gathering,50,1
hand-in-hand,50,1
transparency.,50,1
collects,50,1
shares,50,1
transfer,50,1
That,50,1
important.,50,1
sign,50,1
anything.,50,1
figure,50,1
engaging,50,1
ideas,50,1
contributing,50,1
fun.,50,1
simply:,50,1
champions,50,1
grow,50,1
thrive.,50,1
recognize,50,1
minority,50,1
familiar,50,1
Whether,50,1
terminology,50,1
expert,50,1
refresher,50,1
Glossary,50,1
helpful.,50,1
(not,50,1
lawyers),50,1
easily,50,1
key,50,1
table,50,1
translations:,50,1
handling,50,1
partners,50,1
parties.,50,1
sake,50,1
clarity,50,1
regardless,50,1
language:,50,1
gather,50,1
separate,50,1
Shop),50,1
developer,50,1
Cloud,50,1
Services).,50,1
meant,50,1
explain,50,1
detail,50,1
volunteers,50,1
data-collecting,50,1
script,50,1
gadget,50,1
pixel,50,1
button,50,1
tool.,50,1
violates,50,1
yourself,50,1
privacy[at]wikimedia.org,50,1
investigate.,50,1
Where,50,1
govern,50,1
CheckUser,50,1
rules,50,1
reduce,50,1
offered,50,1
Whatever,50,1
discussion,50,1
permanent,50,1
piece,50,1
altered,50,1
deletion,50,1
individually,50,1
data-related,50,1
How,50,1
Receive,50,1
From,50,1
Unless,50,1
assume,50,1
anything,50,1
redistributed,50,1
uncomfortable,50,1
permanently,50,1
analysis,50,1
political,50,1
affiliation,50,1
gender.,50,1
Email,50,1
example).,50,1
Great!,50,1
problem!,50,1
required,50,1
rare,50,1
circumstances.,50,1
signing,50,1
require,50,1
recover,50,1
careful,50,1
username.,50,1
verify,50,1
yours.,50,1
submitted,50,1
temporarily.,50,1
content;,50,1
usernames,50,1
investigation.,50,1
required:,50,1
credit,50,1
card,50,1
entirely,50,1
hide,50,1
to).,50,1
author,50,1
(you!).,50,1
assist,50,1
removing,50,1
localize,50,1
demographic,50,1
yourself.,50,1
informed,50,1
Providing,50,1
to—it,50,1
that.,50,1
in.,50,1
determine,50,1
location),50,1
obtained,50,1
unlike,50,1
video,50,1
Finally,50,1
Examples,50,1
differently.,50,1
reflect,50,1
community's,50,1
values.,50,1
browsers,50,1
(possibly,50,1
unique,50,1
identification,50,1
beta,50,1
applications),50,1
preference,50,1
device's,50,1
internet,50,1
provider,50,1
carrier,50,1
website,50,1
simply,50,1
enhance,50,1
administer,50,1
vandalism;,50,1
test,50,1
performance;,50,1
interact,50,1
analyze,50,1
trends.,50,1
technologies.,50,1
storage.,50,1
realize,50,1
reputation,50,1
town,50,1
less-than-noble,50,1
So,50,1
clear,50,1
text,50,1
address),50,1
visit).,50,1
unless,50,1
so.,50,1
authorized,50,1
mistakenly,50,1
administrator),50,1
privacy@wikimedia.org.,50,1
Locally,50,1
like:,50,1
more?,50,1
expire,50,1
browser.,50,1
function,50,1
properly,50,1
concerning,50,1
kept,50,1
logs,50,1
alongside,50,1
pursuing,50,1
charitable,50,1
including:,50,1
consent;,50,1
keeping,50,1
interest.,50,1
emails,50,1
advertise,50,1
opportunity,50,1
thoughts,50,1
answers,50,1
provide.,50,1
responses,50,1
surveys,50,1
apps,50,1
points,50,1
near,50,1
deactivate,50,1
OS,50,1
functionalities,50,1
still,50,1
being,50,1
upload.,50,1
expand,50,1
communities.,50,1
manner,50,1
sections,50,1
titled,50,1
Legal,50,1
Reasons,50,1
Protect,50,1
Ourselves,50,1
Others.,50,1
agree.,50,1
scholarship,50,1
chapter.,50,1
authorities,50,1
persons,50,1
official,50,1
valid.,50,1
Requests,50,1
notify,50,1
preserve,50,1
satisfy,50,1
valid,50,1
enforceable,50,1
warrant,50,1
subpoena,50,1
court,50,1
regulation,50,1
judicial,50,1
order.,50,1
user's,50,1
invalid,50,1
intend,50,1
oppose,50,1
it.,50,1
notifying,50,1
ten,50,1
(10),50,1
demand.,50,1
restrained,50,1
credible,50,1
threat,50,1
life,50,1
limb,50,1
disclosing,50,1
Nothing,50,1
objections,50,1
defenses,50,1
third-party's,50,1
(whether,50,1
civil,50,1
criminal,50,1
governmental),50,1
seeking,50,1
advice,50,1
counsel,50,1
immediately,50,1
involving,50,1
Subpoena,50,1
days',50,1
owners,50,1
extremely,50,1
substantially,50,1
reorganization,50,1
consolidation,50,1
acquisition),50,1
continue,50,1
notification,50,1
WikimediaAnnounce-L,50,1
thirty,50,1
(30),50,1
enforce,50,1
violations,50,1
community-based,50,1
policies.,50,1
defend,50,1
ourselves,50,1
threats,50,1
selecting,50,1
amongst,50,1
hold,50,1
rights.,50,1
amounts,50,1
vandalism,50,1
minimize,50,1
disruptive,50,1
supposed,50,1
Access,50,1
accountable,50,1
checks,50,1
balances:,50,1
selected,50,1
community-driven,50,1
overseen,50,1
peers,50,1
names,50,1
comes,50,1
imminent,50,1
serious,50,1
bodily,50,1
harm,50,1
death,50,1
detect,50,1
assess,50,1
spam,50,1
malware,50,1
fraud,50,1
unlawful,50,1
concerns.,50,1
FAQ,50,1
information.),50,1
mission.,50,1
needed,50,1
perform,50,1
agreements,50,1
protective,50,1
policies;,50,1
powers,50,1
depends,50,1
volunteer,50,1
spend,50,1
testing,50,1
code,50,1
evolve,50,1
needs.,50,1
facilitate,50,1
contain,50,1
non-Personal,50,1
scholars,50,1
academics,50,1
interested,50,1
Sharing,50,1
viewing,50,1
statistics,50,1
patterns.,50,1
contractual,50,1
instructions.,50,1
publish,50,1
impose,50,1
abide,50,1
agreement,50,1
regularly,50,1
screen,50,1
audit,50,1
(You,50,1
re-identification,50,1
Any,50,1
–,50,1
specifically,50,1
protected,50,1
And,50,1
registering,50,1
logging,50,1
publicly.,50,1
think,50,1
desired,50,1
elsewhere.,50,1
control,50,1
network,50,1
firewalls,50,1
security),50,1
Unfortunately,50,1
thing,50,1
secure,50,1
breached,50,1
(by,50,1
violation,50,1
procedures).,50,1
(but,50,1
temporary,50,1
requested,50,1
reset).,50,1
let,50,1
sending,50,1
email.,50,1
shortest,50,1
improvement,50,1
de-identified,50,1
90,50,1
Non-Personal,50,1
retained,50,1
indefinitely,50,1
appropriate.,50,1
remember,50,1
transparency,50,1
projects',50,1
revision,50,1
histories,50,1
critical,50,1
efficacy,50,1
trustworthiness.,50,1
restrict/object,50,1
copy,50,1
purposes,50,1
transmitting,50,1
Contact,50,1
Us.,50,1
respond,50,1
exercise,50,1
intervention.,50,1
registered,50,1
download,50,1
Preferences.,50,1
San,50,1
Francisco,50,1
California,50,1
servers,50,1
centers,50,1
decide,50,1
inside,50,1
outside,50,1
processed,50,1
disclosed,50,1
stringent,50,1
connection,50,1
providing,50,1
strongly,50,1
protecting,50,1
Under,50,1
May,50,1
Share,50,1
web,50,1
signal.,50,1
Not,50,1
Track,50,1
Substantial,50,1
comment,50,1
period,50,1
naturally,50,1
accurately,50,1
reflects,50,1
modify,50,1
time.,50,1
reserve,50,1
manner:,50,1
up-to-date,50,1
continued,50,1
effective,50,1
subsequent,50,1
constitutes,50,1
acceptance,50,1
part.,50,1
suggestions,50,1
directly.,50,1
EUrepresentative.Wikimedia@twobirds.com,50,1
UKrepresentative.Wikimedia@twobirds.com,50,1
Our,50,1
Representative,50,1
contacted,50,1
queries,50,1
relation,50,1
protection.,50,1
jurisdiction,50,1
lodge,50,1
complaint,50,1
supervisory,50,1
competent,50,1
region.,50,1
enjoy,50,1
appreciate,50,1
participation,50,1
constantly,50,1
repository,50,1
differences,50,1
interpretation,50,1
translation,50,1
precedence.,50,1
approved,50,1
Amanda,50,1
Keton,50,1
7,50,1
pursuant,50,1
Delegation,50,1
policy-making,50,1
went,50,1
effect,50,1
2021.,50,1
Previous,50,1
below:,50,1
project.Per,52,1
resolution,52,1
Foundation's,52,1
funds,52,1
supports,52,1
resources.,52,1
empowering,52,1
reach,52,1
vision,52,1
sum,52,1
human,52,1
diverse,52,1
inclusive,52,1
positive,52,1
safe,52,1
healthy,52,1
joins,52,1
join),52,1
ensuring,52,1
remains,52,1
embracing,52,1
revisiting,52,1
updates,52,1
needed.,52,1
Also,52,1
distort,52,1
will:,52,1
defines,52,1
interacts,52,1
contributes,52,1
spaces.,52,1
organizers,52,1
affiliates,52,1
in-person,52,1
virtual,52,1
instances:,52,1
provides,52,1
baseline,52,1
collaboration,52,1
Communities,52,1
context,52,1
criteria,52,1
listed,52,1
standard.,52,1
equally,52,1
exceptions.,52,1
Actions,52,1
contradict,52,1
sanctions.,52,1
imposed,52,1
designated,52,1
(as,52,1
appropriate,52,1
context),52,1
owner,52,1
platforms.,52,1
Every,52,1
Wikimedian,52,1
editor,52,1
functionary,52,1
affiliate,52,1
employee,52,1
responsible,52,1
civility,52,1
collegiality,52,1
solidarity,52,1
good,52,1
citizenship.,52,1
mental,52,1
disabilities,52,1
appearance,52,1
national,52,1
religious,52,1
ethnic,52,1
background,52,1
caste,52,1
class,52,1
fluency,52,1
sexual,52,1
orientation,52,1
identity,52,1
sex,52,1
career,52,1
field.,52,1
Nor,52,1
standing,52,1
skills,52,1
accomplishments,52,1
expect,52,1
others.,52,1
communicating,52,1
mutual,52,1
respect.,52,1
behaviours:,52,1
aims,52,1
behaviours,52,1
movement:,52,1
outrage,52,1
upset,52,1
main,52,1
outcome.,52,1
Behaviour,52,1
beyond,52,1
tolerate,52,1
global,52,1
intercultural,52,1
environment.,52,1
emotional,52,1
vulnerable,52,1
workplaces,52,1
friends,52,1
family,52,1
effort,52,1
embarrass.,52,1
single,52,1
repetition.,52,1
Abuse,52,1
occurs,52,1
someone,52,1
perceived,52,1
privilege,52,1
influence,52,1
engages,52,1
disrespectful,52,1
cruel,52,1
violent,52,1
verbal,52,1
psychological,52,1
overlap,52,1
harassment.,52,1
Deliberately,52,1
biased,52,1
false,52,1
inaccurate,52,1
inappropriate,52,1
hindering,52,1
impeding,52,1
hampering,52,1
(and/or,52,1
maintenance),52,1
